rank,utility_tier,name,action,reason,custom_protected,optimization_llm_protected,provenance,path,archived_path,source
1,1,ai-agent-engineering,keep,"Protected optimization, LLM, prompt, or model-performance capability",True,True,local or unresolved,~/.agents/skills/ai-agent-engineering/SKILL.md,,~/.claude/skills/ai-agent-engineering/SKILL.md
2,1,ai-agents-orchestration,keep,"Protected optimization, LLM, prompt, or model-performance capability",True,True,local or unresolved,~/.agents/skills/ai-agents-orchestration/SKILL.md,,~/.claude/skills/ai-agents-orchestration/SKILL.md
3,1,ai-assisted-copywriting-workflow,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/ai-assisted-copywriting-workflow/SKILL.md,,~/.claude/skills/ai-assisted-copywriting-workflow/SKILL.md
4,1,ai-assisted-copywriting-workflow,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/misc-catch-all/references/ai-assisted-copywriting-workflow/SKILL.md,,
5,1,ai-llm-model-layer,keep,"Protected optimization, LLM, prompt, or model-performance capability",True,True,local or unresolved,~/.agents/skills/ai-llm-model-layer/SKILL.md,,~/.claude/skills/ai-llm-model-layer/SKILL.md
6,1,ai-mcp-sdk-prompting,keep,"Protected optimization, LLM, prompt, or model-performance capability",True,True,local or unresolved,~/.agents/skills/ai-mcp-sdk-prompting/SKILL.md,,~/.claude/skills/ai-mcp-sdk-prompting/SKILL.md
7,1,ai-rag-retrieval,keep,"Protected optimization, LLM, prompt, or model-performance capability",True,True,local or unresolved,~/.agents/skills/ai-rag-retrieval/SKILL.md,,~/.claude/skills/ai-rag-retrieval/SKILL.md
8,1,aider-architect-caching,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/aider-architect-caching/SKILL.md,,~/.claude/skills/aider-architect-caching/SKILL.md
9,1,aider-expert,keep,"Protected optimization, LLM, prompt, or model-performance capability",False,True,local or unresolved,~/.agents/skills/aider-expert/SKILL.md,,~/.claude/skills/aider-expert/SKILL.md
10,1,atlas-vector-search-pii-isolation,keep,"Protected optimization, LLM, prompt, or model-performance capability",True,True,local or unresolved,~/.agents/skills/atlas-vector-search-pii-isolation/SKILL.md,,~/.claude/skills/atlas-vector-search-pii-isolation/SKILL.md
11,1,automated-job-applications,keep,"Protected optimization, LLM, prompt, or model-performance capability",True,True,local or unresolved,~/.agents/skills/automated-job-applications/SKILL.md,,~/.claude/skills/automated-job-applications/SKILL.md
